review_id,business_id,text,date,sentiment,annotator
review_id,business_id,text,date,sentiment,cf
LaO2ZSqc6rN3AZmDXcgU2Q,FpyjR9TiaO3JyynpF-y-7g,"Service and food are meh. I came here once in the fall last year to watch football with my gf and we were two of maybe 5 people at the bar. There was one bartender and I couldn't tell if she was in a bad mood, acted normally like that, or would just rather spend her shift talking to her friends on the other side of the bar. We got our food after a bit and had to ask for new avocado since the ones in our plate were literally black. Food was ok the first trip. 
Tried it again this week and wanted to give it another shot since they have a wide beer selection. Sat at the bar with my buddy and the bartender was nicer, but same wait time...not many people at the bar and takes a while to get service or your check, even after making eye contact. Food was worse this time and my buddy said his Alfredo looked like a 4th grader made it from a box. I wanted to like it, but there are better places to go for sports and beer without having to feel like an inconvenience or get iffy food. 
Water and silverware don't come standard apparently, at least at the bar.",2022-01-08 14:52:13,neg,cf
m8wfNY6s0YaQCF08Ad-row,3YqUe2FTCQr0pPVK8oCv6Q,"After so much talk from my sister, I had to come in. Such a wonderful gem in a historical city. Great food and awesome service. I will be back for sure. I can't wait to try the other restaurants.",2022-01-12 2:10:19,pos,cf
FgepcIqW9uWMBRGX_4xCig,dECEn8-37NHSyZbq2a1nQw,"Amazing gem in the rough! They have a variety of supplies for any crafter. Prices are donation only, so take what you need and give what you can. This is a definite visit place if I'm ever back in town!",2022-01-15 20:47:05,pos,cf
31DWipZCMv4M8RAU7LIb1Q,ttDkz3SO_58bAkEp7rSsNA,Hidden is key word.    Upper floor of gym building.  Small signs. Hard to find......but FIND IT!   Food was excellent.   Scotch eggs!    Blast sando with house made truffle mayo and fries were a cut above.     Birria sando with great flavor and texture.    Awesome and we will be back!,2022-01-09 21:45:48,pos,cf
9sMReBdqs47Mf3mrA2CzZA,1VPpbFms0augW1raf8cycw,"The staff was friendly and helpful, the boat ride itself was fun. But the food was hot trash and the drinks were a total disappointment.

So the food portions were ok, but the chicken was way over-salted-to the point that we couldn't eat it. The meat in the gumbo clearly came from a can and the deserts came in portions smaller than you would give to a child.

We paid extra for extra drink tickets and we didn't find out until the boat got underway that we could only get beer, Bloody Marys and shitty Woodbridge wine. We had to pay for all the good booze separately.

There are better ways to see the river on a boat. This place was a huge waste of money and an even bigger disappointment. Whatever bean counter decided to skimp on the food and booze is running this company into the ground.

If the Chef would actually taste test the food before it gets to the customers and if the drink tickets weren't a ripoff then this experience would easily deserve 5 stars.",2022-01-16 23:51:15,neg,cf
FENPRbB4Ml1CJcTOYmFczg,h2nBTqJVHAyltyeq7sZZ-w,"Great breakfast menu good food 
never had dinner there only breakfast",2022-01-16 23:43:29,pos,cf
Oo0Xg7UbWObJg3-bAtdJMw,5-gFqzldwedSmaFjuC06JQ,"I am out of town and thought this hotel would be good but I was wrong. I could barely hear the hotel staff when I called to book a room. I asked if they had a hot tub and swimming pool and they said yes but there was no hot tub. I thought okay miscommunication. We got to the room and no bath towels. I called three times and finally the front desk said come down and get some towels, so I did! Then I ordered a wake up call and the cord kept coming out of the back of the phone because it was broken. They sent up maintenance who told me not to move the phone so the wire doesn't fall out, duh! Then the next day I called to ask if there was a breakfast they said yes but they didn't know what they had. Then I was getting breakfast when a man came up to me and gave me the third degree about where's my voucher? What voucher I asked? He said I needed to buy a voucher but he never said where, for breakfast which was never communicated by anyone until I was getting breakfast and he had to make a scene in public and I left the food. Over all a terrible experience. If you want a nice experience I highly recommend another hotel.",2022-01-15 14:19:44,neg,cf
vMrLNwUhaDL8pVsoJNVYbQ,iksVwRfpWymIUUFqw0tXpw,"My family had a really nice experience here. We enjoyed the food immensely. My 3 children liked the conveyor belt a lot. My kids are really picky eaters and there were so many options for them. We will definitely come back soon. The sauces were amazing too, and added so much flavor to the meat and vegetables.",2022-01-09 22:58:51,pos,cf
IDTxX-0xFIkdMB63sN8Ieg,6_Gsn1ZxSosWb6mZusap0Q,"After showing my friend "" Dairy is scary "" on YouTube and "" The game changers "" on Netflix, we decided to come here. 

The soft serve is delicious not to mention all toppings are all Vegan expect bee pollen & honey.  
it. 
You can't tell the difference and you don't feel bloated after. The power of Plantbased! 

The place is really cute and insta worthy. And the lady working inside is super sweet . 

The only thing is that the acai portion is small that's why I didnt order it.",2022-01-05 14:20:24,pos,cf
