review_id,business_id,text,date
X6EkKbJpOgcwO7zBHVtLrw,XiATUgtzkuxn1IoOwFy1Wg,5 stars every time. Only reason you wouldn't like it is cause you don't know what's good for you. Love the while spot.,2022-01-08 19:52:50
-2yNYo2eVEqdeV5dELFPLQ,hA8c2kWI_8DXZE1jyVxlBQ,"GREAT staff and GREAT food!! My boyfriend had a fontina pizza, we split AMAZING sweet potato fries, and I had the famous grilled cheese with tomato soup. The grilled cheese was better as a vehicle for the soup than good on its own. The soup is so good but the grilled cheese dipped in the soup is the only way to do it!!! Def would recommend. 4 stars because I had acid reflux from the tomato soup (my own issue)",2022-01-02 00:48:22
LIRhXeeHR2RSFB2SRJjIPg,mRKxPMk9jHgCj07MwAMUzw,"Got a chicken bowl. The flavor wasn't bad but there just were several things that really just missed the mark here. The fajita veggies were basically raw and I asked for the mild salsa and I'm pretty sure I was given something a lot spicer (wasn't even diced tomatoes, it was just a red sauce). The chips had absolutely no seasoning (barely any salt or anything) and the guacamole we paid for was legit just a large cut piece of avocado with like a piece of onion and a little smidge of lime juice. Pretty sad, although somehow the chicken bowl was still tastier than Chipotle. . .",2022-01-16 19:48:40
MAbABE4lnYuKdPWvDUCUOA,fgtnOag-DaTsZTHPsgnWSQ,"Pick out this place by Yelp. Food was just so-so. I ordered a family Mongolian dinner with Cashew Chicken and Curry Chicken came. The curry chicken was horrible. Hot and sour soup was not either hot or sour, but tasted good. Won't get take out from here again.",2022-01-17 18:04:06
FOr1Q4dZByod684CHRRphA,vHr8qhM4CXYB3Ol_9yS6QQ,"Sushi pier has been on our list for a while, so we were so excited to order takeout! Service was super quick and while I only got a quick glimpse inside when I picked up our order, the space is so inviting and the decorations are delightful! 

We did the takeout combo of 3 rolls, 2 nigiri, and the moondog stars. It's such a great deal for the amount of food you get!! We also wanted to try the tempura stuffed calamari so we ordered those as well!

Everything was fresh and delicious, I especially loved the Mr Pink roll!! I'd probably skip the King Kong roll and the tempura stuffed calamari next time if we're ordering takeout just because I think they didn't travel super well, but we definitely can't wait to come try more in person here.",2022-01-06 20:00:34
dXxr89FS9D-5ey10qZ6dNg,E3iF4Kw8H269jCWbdyRMQg,DO NOT stay at this hotel! Check in is supposed to be 4:00 but you won't get in until hours later. It's absolutely ridiculous!,2022-01-01 22:33:11
TDHs_vTnRwwYm_NZR2CZRA,L-43PIGGgYV6BoK-GaW4Vw,"I've been here three times now and I'm really grateful to have this place within walking distance. 

The staff has been super friendly. I also appreciated how they professionally enforced COVID rules. They also handled a drunk guest very professionally and prevented anything from escalating. 

Food wise- I've had macaroni and cheese. Loved it. It's not overly heavy. The bang bang broccoli scared me when it came out because it just looked like a bunch of raw broccoli but they must have air fried it really good. It was awesome. The hot dog was good, the mustard on it was amazing. 

My only complaint is that I kept getting wine and when I got to the bottom there was a bunch of gunk floating in it.",2022-01-12 16:07:10
WTQURRJNU4PXAWF7VADj8w,iQp3QlP4iynGTXgFqpZ7Gg,"Megan was our waitress and she made the experience very awkward. She was so nice to the table behind us but was weird to us.

Food was great and drinks were great too.",2022-01-06 02:38:19
6m30HOcJRxCmoIffIH8ibA,1vPSY4EA-fTRIZYz1Ruzow,"Hate to say it but I don't understand what all of the hype is about! Was expecting long lines and crowds but ended up getting a table in the back room in the apartment complex lobby. Tried to order online with the QR code but it kept giving me an error that items in my cart were no longer available, but not specifying which items, so I ended up waiting in line to order anyway. 

No one in my group liked the grilled cheese Jerusalem bagel. One compared it to frozen Ellio's pizza- and they weren't wrong- yikes. The avocado kubaneh toast was good, but nothing special beyond your average avocado toast. The pistachio sticky bun was by far the stand out item, but definitely doesn't compare to the pastries at Suraya. I don't drink coffee but others in the group strongly disliked theirs. My Bloody Mary was horrible, one of the worst I've had. 

The items were delivered to the table sporadically with huge gaps of time in between. For example, we ordered 2 sticky buns and one came out right away and the other came out after we finished everything and were packing up to leave. 

Overall, a big ol' disappointment.",2022-01-09 22:32:11
xYQurXkKUkCH4_nwq5B47A,X5pLH_HQG0ckmsqkjDxEHA,"They serve good food I just suggest that they do presentation a little bit better.  Otherwise, the service and the quality of food is great.",2022-01-11 18:51:57
0NfNSLz3WtkmCkxPO7x64g,xVZh156d7aBvdSCeWaoPQg,"I'm NEVER disappointed at this classy yet approachable spot. 

The vibe? Intimate, jazzy, unexpected. It's the perfect location for a date night or girl's night out. Plus there's an outdoor patio shielded from the street with lush foliage. 

The food? Modern Mediterranean. There's always a little delightful twist. 

We don't order calamari anywhere else because this is our favorite. Lightly breaded, tender, drizzled with sweet Thai chili sauce. But the best part is arguably the spicy pickled peppers they toss into the mix. 

We've never had a bad dish here. The wine deals are great, too! I've been dying to go for brunch!!!",2022-01-06 02:59:27
G9qXUpLIDshC25LDoQbnkg,MfWuOpIEVda0oUKZEbWnbg,"This location is an embarrassment.  My son loves the garbage food they serve, but this location is filthy, has horrible customer service, never makes the pizza the same way twice, let's dogs behind the counter, does bad delivery, has an impossible parking lot .  . . need I say more? This franchisee should be forced to forfeit their franchise.",2022-01-12 00:54:36
8SQ0ASWOHEzuT1chr34Zig,mK4gpsdN7qqb2MMUYbQb7A,"Best seafood on Clearwater Beach, right up there with Frenchy's. Eat the drunken shrimp, but please don't blame me once your addiction starts; I stopped attending SA meetings years ago. All of their daily catch Fish specials are stellar, with grouper & snapper at the top. Love the ""old school"" vibe here. No pretentiousness, just some of the best seafood in Tampa Bay. Check it out, and you'll be hooked! Couldn't resist the pun.",2022-01-15 20:03:24
sP6ycX56c1J_KZvcLj5BYw,awN-Lg5jlhFpsMdXe9WXvw,"My family loves this fun, friendly diner.  Soups, salads and sandwiches are all really good.  I had the spinach salad and it was excellent.  Pizza and pasta look great too.  Our favorite place for a tasty lunch.",2022-01-12 03:44:27
cLDkmumOvcWLixgYxkoAbw,F89mu4Dwig3vnmQ6qn0wtg,"In fairness to Extra space, they have 2 buildings on the 54th Ave. Kenneth City facility, the good reviews must be conform customers using the front building. The building in the back is a 2 star at best.
The last straw was a significant increase in the cost. My unit was in such a dimly lit area of the building I almost needed a flashlight. Several months after requesting light repair they had an electrician change the fluorescent tubes. Bathrooms out of order frequently and nasty which is not a big deal, only to the guy living in a unit. Good luck getting the Odor out of your furniture or whatever you are storing there. Other than these issues all else is fine! Oh, I suggest febreze for the smell.",2022-01-16 16:20:32
CkVSeq1LE05E6ZoC1t5RAg,Wf9Ir1pvAmQL5GXgBEvCcA,Food is good service at the bar. Is the worst in any place I have been. Rude always crazy rude. What do you want two seconds to take order. Never come back to ask and now left shift and no one take take our payment dishes have been sitting in front  us for 15 minutes. And still no one to pay.,2022-01-03 00:26:44
GEas_KlKhHgzRtqZDAtYqg,dpGKdWz6y7ymYg3tpiPNDQ,"I swung through the Drive Thru super late one night because I had just gotten into town and they did a good job. There were 2 cars in front of me and it moved quickly. The person taking the order was pleasant and patient. My food came out right and hot. It was everything you could hope for going through a Taco Bell Drive-Thru at midnight on a week day.
Would be open to returning.",2022-01-10 20:29:58
